"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"91","koeln","3","24668","2014-02-20","koeln","whois-fe1.pdt.koeln.tango.knipp.de","registry"
"92","global","36","24349","2014-05-29","global","whois.nic.global","registry"
"93","technology","16","24349","2013-11-08","technology","whois.donuts.co","registry"
"94","audio","15","23881","2014-05-08","audio","whois.uniregistry.net","registry"
"95","ink","15","23671","2014-02-27","ink","whois.nic.ink","registry"
"96","host","53","23245","2014-05-22","host","whois.nic.host","registry"
"97","services","18","22811","2014-04-03","services","whois.donuts.co","registry"
"98","sexy","74","22416","2013-11-08","sexy","whois.uniregistry.net","registry"
"99","black","14","22297","2014-03-20","black","whois.afilias.net","registry"
"100","uno","13","21491","2013-11-13","uno","whois.nic.uno","registry"
"101","paris","14","20994","2014-03-27","paris","whois-paris.nic.fr","registry"
"102","academy","29","20392","2013-12-12","academy","whois.donuts.co","registry"
"103","我爱你","NA","20143","2013-12-12","xn--6qq986b3xl","whois.gtld.knet.cn","registry"
"104","love","11","19774","2015-03-25","love","whois.nic.love","registry"
"105","ltd","1","19320","2015-08-06","ltd","whois.donuts.co","registry"
"106","international","6","19216","2013-12-19","international","whois.donuts.co","registry"
"107","systems","18","18978","2013-12-12","systems","whois.donuts.co","registry"
"108","ooo","13","18794","2014-07-31","ooo","whois.nic.ooo","registry"
"109","education","24","18731","2013-12-19","education","whois.donuts.co","registry"
"110","casa","3","18698","2014-08-18","casa","whois-dub.mm-registry.com","registry"
"111","diet","1","18464","2014-08-15","diet","whois.uniregistry.net","registry"
"112","photos","8","18460","2013-12-12","photos","whois.donuts.co","registry"
"113","moscow","17","17959","2014-04-17","moscow","whois.nic.moscow","registry"
"114","events","13","17825","2014-01-30","events","whois.donuts.co","registry"
"115","consulting","1","17706","2014-01-30","consulting","whois.unitedtld.com","registry"
"116","wiki","40","17644","2014-02-06","wiki","whois.nic.wiki","registry"
"117","gallery","14","17134","2013-11-08","gallery","whois.donuts.co","registry"
"118","directory","18","16882","2013-11-13","directory","whois.donuts.co","registry"
"119","training","15","16617","2013-12-19","training","whois.donuts.co","registry"
"120","support","19","16598","2013-12-12","support","whois.donuts.co","registry"
"121","social","32","16475","2014-01-09","social","whois.unitedtld.com","registry"
"122","run","11","16386","2015-04-30","run","whois.donuts.co","registry"
"123","digital","39","15875","2014-04-17","digital","whois.donuts.co","registry"
"124","men","8","15791","2015-05-08","men","whois.nic.men","registry"
"125","zone","48","15771","2014-01-09","zone","whois.donuts.co","registry"
