"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"384","cruises","1","2181","2014-01-30","cruises","whois.donuts.co","registry"
"385","desi","10","2135","2014-03-06","desi","whois.ksregistry.net","registry"
"386","surgery","1","2098","2014-04-17","surgery","whois.donuts.co","registry"
"387","rodeo","1","2086","2014-02-28","rodeo","whois-dub.mm-registry.com","registry"
"388","schule","1","2049","2014-04-11","schule","whois.donuts.co","registry"
"389","alsace","1","2008","2014-09-18","alsace","whois-alsace.nic.fr","registry"
"390","juegos","2","2001","2014-05-08","juegos","whois.uniregistry.net","registry"
"391","flights","2","1978","2014-01-30","flights","whois.donuts.co","registry"
"392","villas","1","1938","2014-02-06","villas","whois.donuts.co","registry"
"393","game","1","1930","2015-07-02","game","whois.uniregistry.net","registry"
"394","gop","3","1833","2014-03-06","gop","whois-cl01.mm-registry.com","registry"
"395","actor","1","1816","2014-02-20","actor","whois.unitedtld.com","registry"
"396","mma","1","1729","2015-02-27","mma","whois-mma.nic.fr","registry"
"397","信息","NA","1723","2015-02-05","xn--vuq861b","whois.ngtld.cn","registry"
"398","lease","1","1694","2014-04-03","lease","whois.donuts.co","registry"
"399","soy","2","1659","2014-03-20","soy","domain-registry-whois.l.google.com","registry"
"400","coupons","1","1658","2015-05-08","coupons","whois.donuts.co","registry"
"401","みんな","1","1652","2013-11-13","xn--q9jyb4c","domain-registry-whois.l.google.com","registry"
"402","rehab","3","1641","2014-05-29","rehab","whois.rightside.co","registry"
"403","promo","NA","1630","2015-12-18","promo","whois.afilias.net","registry"
"404","claims","1","1533","2014-05-01","claims","whois.donuts.co","registry"
"405","courses","NA","1493","2015-02-19","courses","whois.aridnrs.net.au","registry"
"406","орг","3","1469","2014-02-27","xn--c1avg","whois.publicinterestregistry.net","registry"
"407","rest","4","1443","2014-03-06","rest","whois.nic.rest","registry"
"408","reise","1","1410","2014-05-15","reise","whois.nic.reise","registry"
"409","fans","NA","1368","2015-02-05","fans","whois.nic.fans","registry"
"410","tennis","1","1355","2015-01-29","tennis","whois.donuts.co","registry"
"411","accountants","1","1334","2014-04-24","accountants","whois.donuts.co","registry"
"412","rio","3","1321","2014-05-15","rio","whois.gtlds.nic.br","registry"
"413","vote","2","1254","2014-02-13","vote","whois.afilias.net","registry"
"414","army","1","1225","2014-05-29","army","whois.rightside.co","registry"
"415","museum","11","1212","2001-10-20","museum","whois.museum","registry"
"416","hockey","1","1179","2015-04-30","hockey","whois.donuts.co","registry"
"417","viajes","2","1141","2013-12-12","viajes","whois.donuts.co","registry"
"418","physio","1","1123","2014-06-05","physio","whois.nic.physio","registry"
"419","movie","4","1102","2015-03-12","movie","whois.donuts.co","registry"
"420","maison","NA","1090","2014-02-06","maison","whois.donuts.co","registry"
"421","career","1","1088","2014-03-20","career","whois.nic.career","registry"
"422","شبكة","1","1073","2013-10-21","xn--ngbc5azd","whois.nic.xn--ngbc5azd","registry"
"423","сайт","1","1017","2013-10-21","xn--80aswg","whois.site.rs.corenic.net","registry"
"424","集团","NA","1013","2013-12-12","xn--3bst00m","whois.gtld.knet.cn","registry"
"425","дети","1","1007","2014-02-13","xn--d1acj3b","whois.nic.xn--d1acj3b","registry"
"426","gripe","1","995","2014-04-03","gripe","whois.donuts.co","registry"
"427","luxury","2","967","2014-01-09","luxury","whois.nic.luxury","registry"
"428","theater","2","961","2015-04-30","theater","whois.donuts.co","registry"
"429","bingo","1","958","2015-01-29","bingo","whois.donuts.co","registry"
"430","gives","1","946","2014-05-29","gives","whois.rightside.co","registry"
"431","tickets","1","933","2015-03-19","tickets","whois.nic.tickets","registry"
"432","voting","NA","901","2014-01-16","voting","whois.voting.tld-box.at","registry"
"433","democrat","NA","850","2014-01-09","democrat","whois.unitedtld.com","registry"
"434","sarl","1","804","2014-07-31","sarl","whois.donuts.co","registry"
"435","tatar","1","801","2014-07-03","tatar","whois.nic.tatar","registry"
"436","study","2","791","2015-02-19","study","whois.nic.study","registry"
"437","republican","1","773","2014-05-29","republican","whois.rightside.co","registry"
"438","creditcard","1","771","2014-04-24","creditcard","whois.donuts.co","registry"
"439","corsica","2","746","2015-04-23","corsica","whois-corsica.nic.fr","registry"
"440","موقع","1","745","2014-05-15","xn--4gbrim","whois.afilias-srs.net","registry"
"441","tube","1","716","2015-12-23","tube","whois.nic.tube","registry"
"442","salon","NA","637","2015-11-12","salon","whois.nic.salon","registry"
"443","shiksha","1","623","2014-01-16","shiksha","whois.afilias.net","registry"
"444","tires","1","620","2014-12-11","tires","whois.donuts.co","registry"
"445","닷컴","NA","557","2015-07-02","xn--mk1bu44c","whois.nic.xn--mk1bu44c","registry"
"446","navy","NA","547","2014-05-29","navy","whois.rightside.co","registry"
"447","organic","1","526","2014-05-29","organic","whois.afilias.net","registry"
"448","osaka","1","516","2014-12-04","osaka","whois.nic.osaka","registry"
"449","qpon","NA","514","2014-01-09","qpon","whois.nic.qpon","registry"
"450","neustar","NA","504","2014-02-06","neustar","whois.nic.neustar","registry"
"451","ryukyu","1","484","2014-03-13","ryukyu","whois.nic.ryukyu","registry"
"452","memorial","NA","452","2014-11-20","memorial","whois.donuts.co","registry"
"453","kyoto","3","446","2015-01-08","kyoto","whois.nic.kyoto","registry"
"454","auto","2","432","2015-03-12","auto","whois.uniregistry.net","registry"
"455","markets","1","425","2015-03-06","markets","whois.nic.markets","registry"
"456","hiv","NA","414","2014-05-22","hiv","whois.afilias-srs.net","registry"
"457","car","1","397","2015-08-26","car","whois.uniregistry.net","registry"
"458","bible","2","385","2015-05-14","bible","whois.nic.bible","registry"
"459","cars","1","383","2015-03-12","cars","whois.uniregistry.net","registry"
"460","airforce","NA","365","2014-04-17","airforce","whois.unitedtld.com","registry"
"461","krd","3","354","2014-07-10","krd","whois.aridnrs.net.au","registry"
"462","ltda","1","330","2014-07-03","ltda","whois.afilias-srs.net","registry"
"463","trading","NA","330","2015-03-06","trading","whois.nic.trading","registry"
"464","닷넷","NA","327","2015-07-02","xn--t60b56a","whois.nic.xn--t60b56a","registry"
"465","voto","NA","283","2014-02-13","voto","whois.afilias.net","registry"
"466","机构","NA","264","2014-02-27","xn--nqv7f","whois.publicinterestregistry.net","registry"
"467","بازار","1","228","2014-02-06","xn--mgbab2bd","whois.bazaar.coreregistry.net","registry"
"468","abogado","NA","210","2014-07-10","abogado","whois-dub.mm-registry.com","registry"
"469","security","NA","201","2015-09-03","security","whois.nic.security","registry"
"470","中信","NA","196","2014-01-09","xn--fiq64b","whois.gtld.knet.cn","registry"
"471","broker","1","172","2015-03-06","broker","whois.nic.broker","registry"
"472","boats","NA","157","2015-02-13","boats","whois.afilias-srs.net","registry"
"473","reit","NA","157","2014-10-23","reit","whois.nic.reit","registry"
"474","homes","NA","154","2014-05-01","homes","whois.afilias-srs.net","registry"
"475","nra","NA","143","2014-07-10","nra","whois.afilias-srs.net","registry"
"476","theatre","NA","140","2015-08-13","theatre","whois.nic.theatre","registry"
"477","pharmacy","2","135","2014-08-28","pharmacy","whois.nic.pharmacy","registry"
"478","hoteles","NA","133","2015-05-14","hoteles","whois.nic.hoteles","registry"
"479","citic","2","132","2014-04-17","citic","whois.nic.citic","registry"
"480","wed","NA","125","2013-12-12","wed","whois.nic.wed","registry"
"481","yachts","NA","123","2014-05-01","yachts","whois.afilias-srs.net","registry"
"482","广东","NA","118","2014-07-24","xn--xhq521b","whois.ngtld.cn","registry"
"483","संगठन","NA","112","2014-02-27","xn--i1b6b1a6a2e","whois.publicinterestregistry.net","registry"
"484","佛山","NA","110","2014-07-17","xn--1qqw23a","whois.ngtld.cn","registry"
"485","bradesco","2","106","2015-05-29","bradesco","whois-cl01.mm-registry.com","registry"
"486","weir","1","100","2015-04-02","weir","whois.nic.weir","registry"
"487","seat","NA","98","2015-03-06","seat","whois.nic.seat","registry"
"488","bloomberg","NA","86","2014-10-16","bloomberg","whois.nic.bloomberg","registry"
"489","lotto","NA","85","2014-06-05","lotto","whois.afilias.net","registry"
"490","cancerresearch","NA","83","2014-06-19","cancerresearch","whois.nic.cancerresearch","registry"
"491","abbott","2","82","2014-11-20","abbott","whois.afilias-srs.net","registry"
"492","barclays","3","81","2015-01-08","barclays","whois.nic.barclays","registry"
"493","forex","1","81","2015-03-06","forex","whois.nic.forex","registry"
"494","rich","NA","78","2014-01-16","rich","whois.afilias-srs.net","registry"
"495","leclerc","4","72","2015-01-29","leclerc","whois-leclerc.nic.fr","registry"
"496","protection","NA","70","2015-08-13","protection","whois.nic.protection","registry"
"497","whoswho","1","65","2014-06-12","whoswho","whois.nic.whoswho","registry"
"498","fage","NA","64","2015-06-25","fage","whois.afilias-srs.net","registry"
"499","storage","NA","62","2015-12-10","storage","whois.afilias-srs.net","registry"
"500","globo","1","57","2014-02-20","globo","whois.gtlds.nic.br","registry"
"501","linde","NA","53","2015-09-03","linde","whois.nic.linde","registry"
"502","microsoft","1","53","2015-04-30","microsoft","whois.nic.microsoft","registry"
"503","pictet","1","52","2015-01-08","pictet","whois.nic.pictet","registry"
"504","trust","1","51","2014-11-26","trust","whois.nic.trust","registry"
"505","八卦","NA","45","2014-11-06","xn--45q11c","whois.nic.xn--45q11c","registry"
"506","firmdale","NA","42","2014-09-04","firmdale","whois.nic.firmdale","registry"
"507","windows","1","42","2015-04-30","windows","whois.nic.windows","registry"
"508","sky","1","41","2014-10-02","sky","whois.nic.sky","registry"
"509","xbox","NA","41","2015-04-30","xbox","whois.nic.xbox","registry"
"510","uol","1","40","2014-08-07","uol","whois.gtlds.nic.br","registry"
"511","autos","NA","39","2014-05-01","autos","whois.afilias-srs.net","registry"
"512","bing","1","38","2015-04-30","bing","whois.nic.bing","registry"
"513","man","NA","38","2015-02-27","man","whois.nic.man","registry"
"514","audi","1","34","2015-11-12","audi","whois.afilias-srs.net","registry"
"515","mango","1","33","2014-01-23","mango","whois.mango.coreregistry.net","registry"
"516","insurance","NA","33","2015-11-06","insurance","whois.nic.insurance","registry"
"517","hotmail","NA","32","2015-04-30","hotmail","whois.nic.hotmail","registry"
"518","shriram","NA","31","2014-12-04","shriram","whois.afilias-srs.net","registry"
"519","azure","NA","29","2015-04-30","azure","whois.nic.azure","registry"
"520","csc","1","29","2015-08-06","csc","whois.nic.csc","registry"
"521","bentley","NA","26","2015-05-14","bentley","whois.nic.bentley","registry"
"522","mini","NA","26","2014-06-05","mini","whois.ksregistry.net","registry"
"523","sener","NA","26","2015-04-02","sener","whois.nic.sener","registry"
"524","aco","NA","22","2015-07-16","aco","whois.afilias-srs.net","registry"
"525","aig","NA","22","2015-04-09","aig","whois.nic.aig","registry"
"526","monash","1","22","2014-01-09","monash","whois.nic.monash","registry"
"527","sca","NA","22","2014-07-17","sca","whois.nic.sca","registry"
"528","cisco","1","21","2015-04-16","cisco","whois.nic.cisco","registry"
"529","saxo","1","21","2015-01-15","saxo","whois.aridnrs.net.au","registry"
"530","crs","NA","20","2014-08-28","crs","whois.nic.crs","registry"
"531","omega","NA","20","2015-04-23","omega","whois.nic.omega","registry"
"532","健康","NA","20","2015-03-12","xn--nyqy26a","","registry"
"533","med","1","20","2015-11-12","med","whois.nic.med","registry"
"534","shell","1","20","2015-11-06","shell","whois.nic.shell","registry"
"535","cfa","NA","19","2015-04-16","cfa","whois.nic.cfa","registry"
"536","nadex","NA","19","2015-04-02","nadex","whois.nic.nadex","registry"
"537","philips","NA","19","2015-02-05","philips","whois.nic.philips","registry"
"538","swatch","1","19","2015-04-23","swatch","whois.nic.swatch","registry"
"539","arte","NA","19","2015-09-24","arte","whois.nic.arte","registry"
"540","cern","2","18","2014-08-13","cern","whois.afilias-srs.net","registry"
"541","clubmed","NA","18","2015-09-24","clubmed","whois.nic.clubmed","registry"
"542","foo","1","17","2014-03-20","foo","domain-registry-whois.l.google.com","registry"
"543","ice","2","17","2015-07-09","ice","whois.nic.ice","registry"
"544","yandex","2","17","2014-07-10","yandex","whois.nic.yandex","registry"
"545","axa","1","16","2014-03-13","axa","whois.nic.axa","registry"
"546","chanel","NA","16","2015-06-18","chanel","whois.nic.chanel","registry"
"547","tatamotors","NA","16","2015-07-16","tatamotors","whois.nic.tatamotors","registry"
"548","moi","1","16","2015-09-10","moi","whois.nic.moi","registry"
"549","abb","1","15","2015-04-09","abb","whois.nic.abb","registry"
"550","cba","1","15","2015-03-26","cba","whois.nic.cba","registry"
"551","crown","NA","15","2015-06-04","crown","whois.nic.crown","registry"
"552","dvag","NA","15","2014-09-18","dvag","whois.ksregistry.net","registry"
"553","jprs","NA","15","2014-12-18","jprs","whois.nic.jprs","registry"
"554","barclaycard","4","14","2015-01-08","barclaycard","whois.nic.barclaycard","registry"
"555","praxi","1","14","2014-03-27","praxi","whois.nic.praxi","registry"
"556","stada","NA","14","2015-08-13","stada","whois.afilias-srs.net","registry"
"557","ubs","NA","14","2015-06-11","ubs","whois.nic.ubs","registry"
"558","aquarelle","NA","14","2014-11-06","aquarelle","whois-aquarelle.nic.fr","registry"
"559","jaguar","NA","14","2015-10-15","jaguar","whois.nic.jaguar","registry"
"560","landrover","NA","14","2015-10-15","landrover","whois.nic.landrover","registry"
"561","norton","NA","14","2015-09-24","norton","whois.nic.norton","registry"
"562","nikon","NA","14","2015-10-01","nikon","whois.nic.nikon","registry"
"563","bms","NA","13","2015-09-10","bms","whois.nic.bms","registry"
"564","bmw","1","13","2014-06-05","bmw","whois.ksregistry.net","registry"
"565","genting","NA","13","2015-06-11","genting","whois.nic.genting","registry"
"566","sanofi","NA","13","2015-07-16","sanofi","whois.nic.sanofi","registry"
"567","rwe","NA","13","2015-10-01","rwe","whois.nic.rwe","registry"
"568","sbs","NA","13","2015-09-24","sbs","whois.nic.sbs","registry"
"569","weber","NA","13","2015-12-10","weber","whois.nic.weber","registry"
"570","otsuka","NA","12","2014-06-26","otsuka","whois.nic.otsuka","registry"
"571","realty","NA","12","2015-06-11","realty","whois.nic.realty","registry"
"572","williamhill","NA","12","2014-07-03","williamhill","whois.nic.williamhill","registry"
"573","google","8","11","2014-09-04","google","domain-registry-whois.l.google.com","registry"
"574","obi","NA","11","2015-09-03","obi","whois.nic.obi","registry"
"575","orange","1","11","2015-06-18","orange","whois.nic.orange","registry"
"576","toray","NA","11","2015-04-16","toray","whois.nic.toray","registry"
"577","aarp","NA","11","2015-10-22","aarp","whois.nic.aarp","registry"
"578","afl","NA","10","2015-02-19","afl","whois.nic.afl","registry"
"579","forum","NA","10","2015-06-11","forum","whois.nic.forum","registry"
"580","lamborghini","NA","10","2015-11-12","lamborghini","whois.afilias-srs.net","registry"
"581","bbva","NA","9","2015-04-23","bbva","whois.nic.bbva","registry"
"582","scb","1","9","2014-06-26","scb","whois.nic.scb","registry"
"583","schwarz","NA","9","2014-12-04","schwarz","whois.nic.schwarz","registry"
"584","symantec","NA","9","2015-09-24","symantec","whois.nic.symantec","registry"
"585","fox","NA","9","2015-11-20","fox","whois.nic.fox","registry"
"586","active","NA","8","2014-06-19","active","whois.afilias-srs.net","registry"
"587","emerck","1","8","2014-09-11","emerck","whois.afilias-srs.net","registry"
"588","gmo","NA","8","2014-02-27","gmo","whois.nic.gmo","registry"
"589","goog","1","8","2015-01-08","goog","domain-registry-whois.l.google.com","registry"
"590","jcb","NA","8","2015-01-08","jcb","whois.nic.gmo","registry"
"591","maif","NA","8","2015-02-13","maif","whois.nic.maif","registry"
"592","walter","NA","8","2015-05-14","walter","whois.nic.walter","registry"
"593","飞利浦","NA","8","2015-02-13","xn--kcrx77d1x4a","whois.nic.xn--kcrx77d1x4a","registry"
"594","makeup","NA","8","2015-12-23","makeup","whois.nic.makeup","registry"
"595","dnp","NA","7","2014-02-27","dnp","whois.nic.dnp","registry"
"596","lancaster","NA","7","2015-06-18","lancaster","whois-lancaster.nic.fr","registry"
"597","oracle","NA","7","2015-01-15","oracle","whois.nic.oracle","registry"
"598","redstone","NA","7","2015-03-06","redstone","whois.afilias-srs.net","registry"
"599","samsung","1","7","2014-10-30","samsung","whois.nic.samsung","registry"
"600","sew","NA","7","2014-11-06","sew","whois.afilias-srs.net","registry"
"601","spreadbetting","1","7","2015-03-06","spreadbetting","whois.nic.spreadbetting","registry"
"602","慈善","NA","7","2015-03-12","xn--30rr7y","whois.nic.wang","registry"
"603","新闻","NA","7","2015-08-06","xn--efvy88h","whois.nic.xn--efvy88h","registry"
"604","cfd","NA","6","2015-03-06","cfd","whois.nic.cfd","registry"
"605","java","NA","6","2015-01-15","java","whois.nic.java","registry"
"606","ntt","NA","6","2015-01-08","ntt","whois.nic.ntt","registry"
"607","sandvik","1","6","2015-05-14","sandvik","whois.nic.sandvik","registry"
"608","삼성","NA","6","2013-12-12","xn--cg4bki","whois.kr","registry"
"609","deloitte","NA","6","2015-12-23","deloitte","whois.nic.deloitte","registry"
"610","accenture","NA","5","2015-04-30","accenture","whois.nic.accenture","registry"
"611","aeg","NA","5","2015-06-11","aeg","whois.nic.aeg","registry"
"612","brother","NA","5","2015-04-09","brother","whois.nic.brother","registry"
"613","dabur","NA","5","2015-01-15","dabur","whois.afilias-srs.net","registry"
"614","fan","NA","5","2015-02-28","fan","whois.nic.fan","registry"
"615","frogans","NA","5","2014-04-03","frogans","whois-frogans.nic.fr","registry"
"616","komatsu","NA","5","2015-03-06","komatsu","whois.nic.komatsu","registry"
"617","latrobe","NA","5","2014-11-06","latrobe","whois.nic.latrobe","registry"
"618","liaison","NA","5","2015-03-19","liaison","whois.nic.liaison","registry"
"619","lidl","NA","5","2014-12-04","lidl","whois.nic.lidl","registry"
"620","lupin","NA","5","2015-03-19","lupin","whois.nic.lupin","registry"
"621","nico","NA","5","2015-02-05","nico","whois.nic.nico","registry"
"622","sandvikcoromant","NA","5","2015-05-14","sandvikcoromant","whois.nic.sandvikcoromant","registry"
"623","sap","1","5","2015-03-19","sap","whois.nic.sap","registry"
"624","skype","NA","5","2015-03-19","skype","whois.nic.skype","registry"
"625","sony","1","5","2015-03-06","sony","whois.nic.sony","registry"
"626","statoil","NA","5","2015-06-11","statoil","whois.nic.statoil","registry"
"627","sohu","NA","5","2014-02-27","sohu","whois.nic.sohu","registry"
"628","bridgestone","NA","4","2015-04-16","bridgestone","whois.nic.bridgestone","registry"
"629","eurovision","NA","4","2014-08-28","eurovision","whois.nic.eurovision","registry"
"630","everbank","NA","4","2014-07-31","everbank","whois.nic.everbank","registry"
"631","mtn","NA","4","2015-03-12","mtn","whois.nic.mtn","registry"
"632","suzuki","NA","4","2014-06-26","suzuki","whois.nic.suzuki","registry"
"633","toshiba","NA","4","2014-10-09","toshiba","whois.nic.toshiba","registry"
"634","toyota","NA","4","2015-07-16","toyota","whois.nic.toyota","registry"
"635","wme","NA","4","2014-08-22","wme","whois.nic.wme","registry"
"636","seven","NA","4","2015-09-23","seven","whois.nic.seven","registry"
"637","volkswagen","NA","4","2015-12-23","volkswagen","whois.nic.volkswagen","registry"
"638","canon","1","3","2015-01-29","canon","whois.nic.canon","registry"
"639","here","1","3","2014-06-12","here","domain-registry-whois.l.google.com","registry"
"640","hitachi","1","3","2015-04-23","hitachi","whois.nic.gmo","registry"
"641","jll","1","3","2015-05-14","jll","whois.afilias-srs.net","registry"
"642","marriott","NA","3","2014-12-18","marriott","whois.afilias-srs.net","registry"
"643","motorcycles","NA","3","2014-05-01","motorcycles","whois.afilias-srs.net","registry"
"644","nokia","NA","3","2015-04-23","nokia","whois.afilias-srs.net","registry"
"645","schmidt","NA","3","2014-06-19","schmidt","whois.nic.schmidt","registry"
"646","sncf","NA","3","2015-05-08","sncf","whois-sncf.nic.fr","registry"
"647","餐厅","NA","3","2015-05-08","xn--imr513n","","registry"
"648","xperia","NA","3","2015-07-23","xperia","whois.nic.xperia","registry"
"649","mtr","NA","3","2015-07-31","mtr","whois.nic.mtr","registry"
"650","amica","NA","3","2015-08-06","amica","whois.nic.amica","registry"
"651","erni","NA","3","2015-02-05","erni","whois.nic.erni","registry"
"652","ferrero","NA","3","2015-09-10","ferrero","whois.nic.ferrero","registry"
"653","dell","NA","3","2015-04-30","dell","whois.nic.dell","registry"
"654","bugatti","NA","3","2015-11-12","bugatti","whois.afilias-srs.net","registry"
"655","travelers","NA","3","2015-11-25","travelers","whois.afilias-srs.net","registry"
"656","aaa","NA","2","2015-08-13","aaa","whois.nic.aaa","registry"
"657","ads","3","2","2015-02-05","ads","domain-registry-whois.l.google.com","registry"
"658","allfinanz","NA","2","2014-09-25","allfinanz","whois.ksregistry.net","registry"
"659","app","15","2","2015-06-25","app","whois.nic.google","registry"
"660","bbc","1","2","2015-03-12","bbc","whois.nic.bbc","registry"
"661","boo","1","2","2014-06-12","boo","domain-registry-whois.l.google.com","registry"
"662","channel","NA","2","2014-08-23","channel","domain-registry-whois.l.google.com","registry"
"663","dad","NA","2","2014-06-12","dad","domain-registry-whois.l.google.com","registry"
"664","day","NA","2","2014-06-12","day","domain-registry-whois.l.google.com","registry"
"665","eat","NA","2","2014-06-12","eat","domain-registry-whois.l.google.com","registry"
"666","esq","NA","2","2014-08-23","esq","domain-registry-whois.l.google.com","registry"
"667","fly","NA","2","2014-08-23","fly","domain-registry-whois.l.google.com","registry"
"668","gbiz","NA","2","2014-08-23","gbiz","domain-registry-whois.l.google.com","registry"
"669","gmail","1","2","2014-08-23","gmail","domain-registry-whois.l.google.com","registry"
"670","goo","1","2","2015-02-13","goo","whois.nic.gmo","registry"
"671","ing","NA","2","2014-06-12","ing","domain-registry-whois.l.google.com","registry"
"672","lexus","NA","2","2015-07-16","lexus","whois.nic.lexus","registry"
"673","meme","NA","2","2014-06-12","meme","domain-registry-whois.l.google.com","registry"
"674","mov","NA","2","2014-06-12","mov","domain-registry-whois.l.google.com","registry"
"675","nec","1","2","2015-04-02","nec","whois.nic.nec","registry"
"676","netbank","NA","2","2015-03-26","netbank","whois.nic.netbank","registry"
"677","new","1","2","2014-06-12","new","domain-registry-whois.l.google.com","registry"
"678","page","NA","2","2015-02-05","page","domain-registry-whois.l.google.com","registry"
"679","prod","1","2","2014-08-23","prod","domain-registry-whois.l.google.com","registry"
"680","prof","NA","2","2014-09-04","prof","domain-registry-whois.l.google.com","registry"
"681","ricoh","NA","2","2015-03-06","ricoh","whois.nic.ricoh","registry"
"682","rsvp","NA","2","2014-08-23","rsvp","domain-registry-whois.l.google.com","registry"
"683","spiegel","NA","2","2014-06-19","spiegel","whois.ksregistry.net","registry"
"684","vista","NA","2","2015-06-04","vista","whois.nic.vista","registry"
"685","vistaprint","NA","2","2015-06-04","vistaprint","whois.nic.vistaprint","registry"
"686","xerox","NA","2","2015-04-02","xerox","whois.nic.xerox","registry"
"687","娱乐","NA","2","2014-07-17","xn--fjq720a","whois.donuts.co","registry"
"688","游戏","NA","2","2013-10-21","xn--unup4y","whois.donuts.co","registry"
"689","youtube","1","2","2014-08-23","youtube","domain-registry-whois.l.google.com","registry"
"690","zip","NA","2","2014-08-23","zip","domain-registry-whois.l.google.com","registry"
"691","hermes","NA","2","2014-10-30","hermes","whois.afilias-srs.net","registry"
"692","kinder","NA","2","2015-09-10","kinder","whois.nic.kinder","registry"
"693","aramco","NA","2","2015-08-20","aramco","whois.nic.aramco","registry"
"694","ارامكو","NA","2","2015-08-20","xn--mgba3a3ejt","","registry"
"695","redumbrella","NA","2","2015-11-20","redumbrella","whois.afilias-srs.net","registry"
"696","rocher","NA","2","2015-09-10","rocher","whois.nic.rocher","registry"
"697","broadway","NA","2","2015-10-08","broadway","whois-cl01.mm-registry.com","registry"
"698","trv","1","2","2015-11-25","trv","whois.afilias-srs.net","registry"
"699","travelersinsurance","NA","2","2015-11-25","travelersinsurance","whois.afilias-srs.net","registry"
"700","statefarm","NA","2","2015-11-06","statefarm","whois.nic.statefarm","registry"
"701","lanxess","NA","2","2016-01-08","lanxess","whois.nic.lanxess","registry"
"702","jpmorgan","NA","2","2016-01-14","jpmorgan","whois.nic.jpmorgan","registry"
"703","chase","NA","2","2016-01-14","chase","whois.nic.chase","registry"
"704","locus","NA","2","2016-02-26","locus","whois.nic.locus","registry"
"705","aws","1","2","2016-03-18","aws","whois.nic.aws","registry"
"706","airtel","NA","1","2015-06-18","airtel","whois.nic.airtel","registry"
"707","android","NA","1","2014-10-30","android","domain-registry-whois.l.google.com","registry"
"708","bauhaus","NA","1","2015-03-12","bauhaus","whois.nic.bauhaus","registry"
"709","bcn","NA","1","2015-06-04","bcn","whois.nic.bcn","registry"
"710","bharti","NA","1","2015-05-08","bharti","whois.nic.bharti","registry"
"711","bnl","NA","1","2015-06-11","bnl","whois.afilias-srs.net","registry"
"712","bom","NA","1","2015-05-29","bom","whois.gtlds.nic.br","registry"
"713","bond","NA","1","2014-10-30","bond","whois.nic.bond","registry"
"714","boots","NA","1","2015-06-18","boots","whois.nic.boots","registry"
"715","budapest","NA","1","2014-02-28","budapest","whois-dub.mm-registry.com","registry"
"716","cal","NA","1","2014-09-04","cal","domain-registry-whois.l.google.com","registry"
"717","caravan","NA","1","2014-05-22","caravan","whois.nic.caravan","registry"
"718","cartier","NA","1","2014-11-20","cartier","whois.nic.cartier","registry"
"719","cbn","NA","1","2014-11-20","cbn","whois.nic.cbn","registry"
"720","ceb","NA","1","2015-07-02","ceb","whois.afilias-srs.net","registry"
"721","chloe","NA","1","2015-01-08","chloe","whois.nic.chloe","registry"
"722","chrome","NA","1","2014-09-04","chrome","domain-registry-whois.l.google.com","registry"
"723","commbank","NA","1","2015-03-26","commbank","whois.nic.commbank","registry"
"724","cuisinella","NA","1","2014-06-19","cuisinella","whois.nic.cuisinella","registry"
"725","cyou","NA","1","2015-03-19","cyou","whois.afilias-srs.net","registry"
"726","datsun","NA","1","2014-07-10","datsun","whois.nic.gmo","registry"
"727","dclk","NA","1","2015-01-08","dclk","domain-registry-whois.l.google.com","registry"
"728","delta","NA","1","2015-06-25","delta","whois.afilias-srs.net","registry"
"729","dev","213","1","2014-11-20","dev","domain-registry-whois.l.google.com","registry"
"730","docs","NA","1","2014-11-20","docs","domain-registry-whois.l.google.com","registry"
"731","doha","NA","1","2015-02-27","doha","whois.nic.doha","registry"
"732","drive","NA","1","2015-06-04","drive","whois.nic.google","registry"
"733","epson","NA","1","2015-02-19","epson","whois.aridnrs.net.au","registry"
"734","final","NA","1","2015-05-29","final","whois.gtlds.nic.br","registry"
"735","flsmidth","NA","1","2014-09-25","flsmidth","whois.ksregistry.net","registry"
"736","gea","NA","1","2015-07-09","gea","whois.afilias-srs.net","registry"
"737","ggee","NA","1","2014-12-18","ggee","whois.nic.ggee","registry"
"738","giving","NA","1","2015-06-11","giving","whois.nic.giving","registry"
"739","gle","1","1","2014-09-04","gle","domain-registry-whois.l.google.com","registry"
"740","gmx","NA","1","2014-08-07","gmx","whois-fe1.gmx.tango.knipp.de","registry"
"741","goldpoint","NA","1","2015-02-13","goldpoint","whois.nic.goldpoint","registry"
"742","guge","NA","1","2015-02-19","guge","domain-registry-whois.l.google.com","registry"
"743","hangout","NA","1","2015-01-08","hangout","domain-registry-whois.l.google.com","registry"
"744","homedepot","NA","1","2015-05-29","homedepot","whois.afilias-srs.net","registry"
"745","honda","NA","1","2015-03-06","honda","whois.nic.honda","registry"
"746","hsbc","NA","1","2015-01-15","hsbc","whois.nic.hsbc","registry"
"747","hyundai","NA","1","2015-09-17","hyundai","whois.nic.hyundai","registry"
"748","ibm","NA","1","2014-09-25","ibm","whois.nic.ibm","registry"
"749","icbc","NA","1","2015-04-09","icbc","whois.afilias-srs.net","registry"
"750","icu","NA","1","2015-03-06","icu","whois.nic.icu","registry"
"751","iinet","NA","1","2014-08-18","iinet","whois.aridnrs.net.au","registry"
"752","infiniti","1","1","2014-07-10","infiniti","whois.nic.gmo","registry"
"753","ipiranga","NA","1","2015-04-02","ipiranga","whois.nic.ipiranga","registry"
"754","itau","1","1","2015-05-29","itau","whois.nic.itau","registry"
